location_id,month,total_labor_cost,total_revenue,labor_pct_of_revenue
1,2024-06,42093.525,24078.18,174.82
1,2024-07,38973.458,28814.22,135.26
1,2024-08,41185.519,26216.54,157.1
1,2024-09,40232.833,23516.6,171.08
1,2024-10,41870.517,25407.05,164.8
1,2024-11,40394.067,29475.84,137.04
1,2024-12,41648.249,30772.03,135.34
1,2025-01,43410.553,28161.83,154.15
1,2025-02,37813.139,26182.62,144.42
1,2025-03,40665.49,26542.89,153.21
1,2025-04,40087.011,25918.73,154.66
1,2025-05,40403.068,28342.83,142.55
1,2025-06,37655.372,27590.35,136.48
1,2025-07,42754.682,32059.84,133.36
1,2025-08,40062.824,30255.52,132.41
1,2025-09,41972.320999999996,26220.38,160.08
1,2025-10,41011.505,29459.11,139.22
1,2025-11,42079.678,30216.24,139.26
2,2024-06,41509.609,24917.59,166.59
2,2024-07,40775.801,29326.28,139.04
2,2024-08,43896.798,26017.75,168.72
2,2024-09,41302.443,25232.23,163.69
2,2024-10,41111.441,24866.45,165.33
2,2024-11,38306.166,28919.51,132.46
2,2024-12,41845.726,29095.1,143.82
2,2025-01,42848.712,27401.6,156.37
2,2025-02,37209.959,23170.72,160.59
2,2025-03,39820.325,26231.39,151.8
2,2025-04,40353.177,26597.27,151.72
2,2025-05,42778.462,27456.47,155.8
2,2025-06,40861.651,26135.41,156.35
2,2025-07,37718.472,31551.07,119.55
2,2025-08,41164.092,29712.88,138.54
2,2025-09,39942.746,29102.26,137.25
2,2025-10,43978.024,29481.98,149.17
2,2025-11,40893.319,32170.89,127.11
3,2024-06,39493.439,24960.29,158.23
3,2024-07,41430.615,25956.63,159.61
3,2024-08,41369.082,25967.69,159.31
3,2024-09,38862.783,24609.68,157.92
3,2024-10,41237.194,25048.42,164.63
3,2024-11,38126.011,27781.25,137.24
3,2024-12,43062.278,31307.57,137.55
3,2025-01,43557.699,26685.17,163.23
3,2025-02,39792.051,22668.28,175.54
3,2025-03,41644.293,28273.91,147.29
3,2025-04,40245.435,28474.65,141.34
3,2025-05,39902.882,29305.18,136.16
3,2025-06,40476.389,25544.91,158.45
3,2025-07,43015.693,32857.48,130.92
3,2025-08,40946.652,28048.29,145.99
3,2025-09,42793.172,27939.05,153.17
3,2025-10,41905.474,27863.22,150.4
3,2025-11,39224.067,34582.94,113.42
4,2024-06,37350.363,25239.23,147.99
4,2024-07,40979.441,28992.35,141.35
4,2024-08,41639.656,27304.54,152.5
4,2024-09,38848.009,26924.98,144.28
4,2024-10,40933.334,27417.54,149.3
4,2024-11,38546.907999999996,31876.09,120.93
4,2024-12,43367.081,31266.45,138.7
4,2025-01,42941.888,26537.35,161.82
4,2025-02,35857.708,25535.8,140.42
4,2025-03,41687.529,27250.63,152.98
4,2025-04,41969.075,25632.06,163.74
4,2025-05,40537.614,26412.33,153.48
4,2025-06,38091.709,26843.17,141.9
4,2025-07,41529.358,32711.04,126.96
4,2025-08,40949.1,29732.01,137.73
4,2025-09,40244.994,27994.86,143.76
4,2025-10,43920.575,27584.21,159.22
4,2025-11,41922.788,33676.68,124.49
5,2024-06,41393.663,23201.62,178.41
5,2024-07,43018.519,28306.91,151.97
5,2024-08,41569.911,25627.89,162.21
5,2024-09,40022.795,26314.18,152.1
5,2024-10,41052.796,27156.1,151.17
5,2024-11,42125.776,31209.84,134.98
5,2024-12,40233.144,30004.46,134.09
5,2025-01,42057.694,26389.24,159.37
5,2025-02,36544.244,22164.56,164.88
5,2025-03,41581.351,28044.11,148.27
5,2025-04,39390.128,26133.29,150.73
5,2025-05,41587.1,27414.63,151.7
5,2025-06,44753.208,29726.5,150.55
5,2025-07,39189.002,32254.89,121.5
5,2025-08,44262.281,29599.88,149.54
5,2025-09,39587.776,28180.92,140.48
5,2025-10,41405.514,27100.78,152.78
5,2025-11,41866.479,30810.59,135.88
6,2024-06,41400.458,24289.69,170.44
6,2024-07,41244.37,29424.05,140.17
6,2024-08,37092.188,23834.27,155.63
6,2024-09,39894.331,24820.87,160.73
6,2024-10,42539.95,27445.58,155.0
6,2024-11,42170.189,30189.1,139.69
6,2024-12,42941.484,29440.61,145.86
6,2025-01,40063.707,26319.43,152.22
6,2025-02,37033.368,23435.69,158.02
6,2025-03,40959.528,26765.11,153.03
6,2025-04,40273.983,25916.7,155.4
6,2025-05,40882.736,28974.34,141.1
6,2025-06,41320.08,27367.65,150.98
6,2025-07,42928.142,30462.95,140.92
6,2025-08,43937.076,26914.6,163.25
6,2025-09,38167.555,26381.4,144.68
6,2025-10,42172.956,29485.89,143.03
6,2025-11,40480.75,32137.72,125.96
7,2024-06,39741.585,23780.14,167.12
7,2024-07,40292.185,28157.77,143.09
7,2024-08,41858.858,25927.58,161.45
7,2024-09,38191.208,26506.04,144.08
7,2024-10,37919.495,26636.36,142.36
7,2024-11,37956.014,29957.83,126.7
7,2024-12,42128.179000000004,30193.6,139.53
7,2025-01,40023.786,27317.68,146.51
7,2025-02,37040.817,25461.95,145.48
7,2025-03,41128.912,24990.49,164.58
7,2025-04,40543.099,25673.87,157.92
7,2025-05,39228.418,27183.9,144.31
7,2025-06,41089.554000000004,25765.57,159.47
7,2025-07,38521.114,32020.9,120.3
7,2025-08,41646.878,28374.9,146.77
7,2025-09,39529.991,23359.63,169.22
7,2025-10,38625.162,28311.69,136.43
7,2025-11,41279.084,33782.61,122.19
8,2024-06,40735.967,24159.19,168.61
8,2024-07,41701.353,26746.85,155.91
8,2024-08,42858.073000000004,26255.7,163.23
8,2024-09,38589.643,22900.95,168.51
8,2024-10,41236.504,26711.85,154.38
8,2024-11,39968.855,31841.11,125.53
8,2024-12,39643.416,29210.09,135.72
8,2025-01,43258.997,25111.31,172.27
8,2025-02,36496.308,21796.78,167.44
8,2025-03,42470.799,26217.6,161.99
8,2025-04,40021.295,25696.69,155.74
8,2025-05,41327.216,27517.4,150.19
8,2025-06,41062.14,27278.67,150.53
8,2025-07,44324.389,31065.38,142.68
8,2025-08,40852.859,29178.91,140.01
8,2025-09,36547.041,26364.17,138.62
8,2025-10,41218.165,28291.87,145.69
8,2025-11,38360.02,31699.37,121.01
