location_id,month,revenue
1,2024-06,24078.18
1,2024-07,28814.22
1,2024-08,26216.54
1,2024-09,23516.6
1,2024-10,25407.05
1,2024-11,29475.84
1,2024-12,30772.03
1,2025-01,28161.83
1,2025-02,26182.62
1,2025-03,26542.89
1,2025-04,25918.73
1,2025-05,28342.83
1,2025-06,27590.35
1,2025-07,32059.84
1,2025-08,30255.52
1,2025-09,26220.38
1,2025-10,29459.11
1,2025-11,30216.24
2,2024-06,24917.59
2,2024-07,29326.28
2,2024-08,26017.75
2,2024-09,25232.23
2,2024-10,24866.45
2,2024-11,28919.51
2,2024-12,29095.1
2,2025-01,27401.6
2,2025-02,23170.72
2,2025-03,26231.39
2,2025-04,26597.27
2,2025-05,27456.47
2,2025-06,26135.41
2,2025-07,31551.07
2,2025-08,29712.88
2,2025-09,29102.26
2,2025-10,29481.98
2,2025-11,32170.89
3,2024-06,24960.29
3,2024-07,25956.63
3,2024-08,25967.69
3,2024-09,24609.68
3,2024-10,25048.42
3,2024-11,27781.25
3,2024-12,31307.57
3,2025-01,26685.17
3,2025-02,22668.28
3,2025-03,28273.91
3,2025-04,28474.65
3,2025-05,29305.18
3,2025-06,25544.91
3,2025-07,32857.48
3,2025-08,28048.29
3,2025-09,27939.05
3,2025-10,27863.22
3,2025-11,34582.94
4,2024-06,25239.23
4,2024-07,28992.35
4,2024-08,27304.54
4,2024-09,26924.98
4,2024-10,27417.54
4,2024-11,31876.09
4,2024-12,31266.45
4,2025-01,26537.35
4,2025-02,25535.8
4,2025-03,27250.63
4,2025-04,25632.06
4,2025-05,26412.33
4,2025-06,26843.17
4,2025-07,32711.04
4,2025-08,29732.01
4,2025-09,27994.86
4,2025-10,27584.21
4,2025-11,33676.68
5,2024-06,23201.62
5,2024-07,28306.91
5,2024-08,25627.89
5,2024-09,26314.18
5,2024-10,27156.1
5,2024-11,31209.84
5,2024-12,30004.46
5,2025-01,26389.24
5,2025-02,22164.56
5,2025-03,28044.11
5,2025-04,26133.29
5,2025-05,27414.63
5,2025-06,29726.5
5,2025-07,32254.89
5,2025-08,29599.88
5,2025-09,28180.92
5,2025-10,27100.78
5,2025-11,30810.59
6,2024-06,24289.69
6,2024-07,29424.05
6,2024-08,23834.27
6,2024-09,24820.87
6,2024-10,27445.58
6,2024-11,30189.1
6,2024-12,29440.61
6,2025-01,26319.43
6,2025-02,23435.69
6,2025-03,26765.11
6,2025-04,25916.7
6,2025-05,28974.34
6,2025-06,27367.65
6,2025-07,30462.95
6,2025-08,26914.6
6,2025-09,26381.4
6,2025-10,29485.89
6,2025-11,32137.72
7,2024-06,23780.14
7,2024-07,28157.77
7,2024-08,25927.58
7,2024-09,26506.04
7,2024-10,26636.36
7,2024-11,29957.83
7,2024-12,30193.6
7,2025-01,27317.68
7,2025-02,25461.95
7,2025-03,24990.49
7,2025-04,25673.87
7,2025-05,27183.9
7,2025-06,25765.57
7,2025-07,32020.9
7,2025-08,28374.9
7,2025-09,23359.63
7,2025-10,28311.69
7,2025-11,33782.61
8,2024-06,24159.19
8,2024-07,26746.85
8,2024-08,26255.7
8,2024-09,22900.95
8,2024-10,26711.85
8,2024-11,31841.11
8,2024-12,29210.09
8,2025-01,25111.31
8,2025-02,21796.78
8,2025-03,26217.6
8,2025-04,25696.69
8,2025-05,27517.4
8,2025-06,27278.67
8,2025-07,31065.38
8,2025-08,29178.91
8,2025-09,26364.17
8,2025-10,28291.87
8,2025-11,31699.37
